new Platform(-37.0, -622.5, 15.0, 750.0, "rgb(128, 128, 128)", "platform"),
new Platform(-34.0, -622.5, 1750.0, 22.0, "rgb(128, 128, 128)", "platform"),
new Platform(945.0, -388.5, 1469.0, 22.0, "rgb(128, 128, 128)", "platform"),
new Platform(936.0, -388.5, 23.0, 531.0, "rgb(128, 128, 128)", "platform"),
new Platform(840.0, 22.5, 100, 100, "rgb(128, 128, 128)", "platform"),
new Platform(712.0, -314.5, 238.0, 13.0, "rgb(128, 128, 128)", "platform"),
new Platform(267.0, 1.5, 191.0, 100, "rgb(128, 128, 128)", "platform"),
new Platform(46.0, -138.5, 17.0, 193.0, "rgb(128, 128, 128)", "platform"),
new Platform(-37.0, 94.0, 995.0, 50.0, "rgb(128, 128, 128)", "platform"),
new Platform(57.0, -101.5, 237.0, 199.0, "rgb(128, 128, 128)", "platform"),
new Platform(-35.0, -182.5, 100, 313.0, "rgb(128, 128, 128)", "platform"),
new Platform(139.0, -276.5, 94.0, 13.0, "rgb(128, 128, 128)", "platform"),
new Platform(277.0, -353.5, 87.0, 15.0, "rgb(128, 128, 128)", "platform"),
new Platform(446.0, -401.5, 53.0, 10.0, "rgb(128, 128, 128)", "platform"),
